franchise,Id_franchise
Dracula (Universal Series),256
The Wolf Man (Universal Series),257
Frankenstein (Hammer Series),258
Rocky Horror Collection,259
Swamp Thing Collection,260
Tarzan (Animation) Collection,261
American Pie Collection,262
Tales of the Four Seasons,263
Blair Witch Collection,264
Lake Placid Collection,265
Ghostbusters Collection,266
Inspector Gadget Collection,267
The Adventures of Antoine Doinel,268
Allan Quatermain Collection,269
Airplane Collection,270
Problem Child Collection,271
A Christmas Story Collection,272
Universal Soldier Collection,273
Iron Eagle Collection,274
The Spiders Serial,275
Stir of Echoes Collection,276
Fright Night Collection,277
Armour of God Collection,278
Phantasm Collection,279
Drunken Master Collection,280
The Dirty Dozen Collection,281
The Blue Lagoon collection,282
Penitenciaría - Colección,283
Omega Code Series,284
Bats Collection,285
The Best Man Collection,286
Harry Palmer Collection,287
On Any Sunday Collection,288
House on Haunted Hill Collection,289
Re-Animator Collection,290
Creepshow Collection,291
Piranha Collection,292
Mister Roberts Collection,293
Meatballs Collection,294
Pokémon Collection,295
The Up Series,296
Deuce Bigalow Collection,297
The Last Picture Show Collection,298
The Sinbad Collection,299
Stuart Little Collection,300
Batman (DC Universe Animated) Collection,301
Sister Act Collection,302
Wayne's World Collection,303
The Cutting Edge Collection,304
Single White Female Collection,305
The Boondock Saints Collection,306
"To Sir, with Love Collection",307
The Chronicles of Riddick Collection,308
The Whole Nine/Ten Yards Collection,309
Cross of Iron Collection,310
American Graffiti Collection,311
Final Destination Collection,312
Death Wish Collection,313
Teenage Mutant Ninja Turtles (Original) Collection,314
The Skulls Collection,315
Navarone Collection,316
Beach Party Collection,317
Arthur Collection,318
Bachelor Party Collection,319
Predator Collection,320
American Psycho Collection,321
East is East Collection,322
Caddyshack Collection,323
Carnosaur Collection,324
Hidden Collection,325
The Three Mothers Collection,326
Die Nibelungen Filmreihe,327
Center Stage Collection,328
Pee-wee's Collection,329
Road Trip Collection,330
Shanghai Noon Collection,331
Big Momma's House Collection,332
Quatermass (Hammer series),333
Puppet Master Collection,334
The Benji Collection,335
The Decline of Western Civilization Collection,336
Dirty Harry Collection,337
Porky's Collection,338
Nuke 'Em High Collection,339
The Toxic Avenger Collection,340
Alien Nation Collection,341
Mad Max Collection,342
9½ Weeks Collection,343
Firestarter Collection,344
Shaft Collection,345
F/X Collection,346
Missing in Action Collection,347
Nekromantik Collection,348
Scary Movie Collection,349
X-Men Collection,350
Hollow Man Collection,351
Pumpkinhead Collection,352
Sleepaway Camp Collection,353
"Ilsa, She Wolf of the SS Collection",354
The Cell Collection,355
Godzilla (Millennium) Collection,356
The Art of War Collection,357
Bring It On Collection,358
Anatomy Collection,359
Creature From The Black Lagoon (Universal Series),360
The Invisible Man (Universal Series),361
The Slumber Party Massacre Collection,362
The Sorority House Massacre Collection,363
Digimon Collection,364
Meet the Parents Collection,365
Billy Jack Collection,366
Ghoulies Collection,367
Charlie's Angels Collection,368
"Crouching Tiger, Hidden Dragon Collection",369
Dungeons & Dragons Collection,370
Wall Street Collection,371
The Emperor's New Groove Collection,372
Miss Congeniality Collection,373
Dracula 2000 Collection,374
Annie Collection,375
Save The Last Dance Collection,376
The Brave Little Toaster Collection,377
Ernest Collection,378
Lost Boys Collection,379
Mannequin Collection,380
Left Behind Collection,381
Wong Kar-Wai's Informal Collection,382
Disneys Große Pause,383
Demetrius Filmreihe,384
Dr. Phibes Collection,385
Revenge of the Nerds Collection,386
C.H.U.D. Collection,387
Spy Kids Collection,388
Bridget Jones Collection,389
Joe Dirt Collection,390
Shrek Collection,391
Alienation Trilogy,392
The Magnificent Seven Collection,393
Atlantis Collection,394
Tomb Raider Collection,395
The Fast and the Furious Collection,396
The Crimson Rivers Collection,397
Cats & Dogs Collection,398
Totò Collection,399
Cannonball Run Collection,400
Dr Goldfoot Collection,401
Final Fantasy Collection,402
Legally Blonde Collection,403
Critters Collection,404
Elvira Collection,405
Return of the Living Dead Collection,406
The Man From Snowy River Collection,407
Short Circuit Collection,408
The Waxwork Collection,409
American Ninja Collection,410
Bill & Ted's Most Excellent Collection,411
Cyborg Collection,412
Dream a Little Dream Collection,413
Eddie and the Cruisers Collection,414
K-9 Collection,415
Kickboxer Collection,416
Look Who's Talking Collection,417
The Musketeers Collection,418
Road House Collection,419
The Stepfather Collection,420
Warlock Collection,421
Basket Case Collection,422
The Princess Diaries Collection,423
La cage aux folles,424
Philo & Clyde Collection,425
Jeepers Creepers Collection,426
A Man Called Horse Collection,427
Zoolander Collection,428
Joy Ride Collection,429
The Party Collection,430
Darko Collection,431
"Monsters, Inc. Collection",432
When a Stranger Calls Collection,433
Harry Potter Collection,434
Fanny Brice Collection,435
Beastmaster Collection,436
The Exterminator Collection,437
Caprona Collection,438
Behind Enemy Lines Collection,439
Ocean's Collection,440
The Lord of the Rings Collection,441
Fritz the Cat Collection,442
Sex and Zen Collection,443
48 Hrs. Collection,444
The Sandlot Collection,445
Super Troopers Collection,446
Sleuth Collection,447
State Property Collection,448
The Bad New Bears Collection,449
The Lone Ranger (Clayton Moore) Collection,450
Vampire Hunter D Collection,451
FernGully Collection,452
Zombi Collection,453
Get Smart Collection,454
"Oh, God! Collection",455
Ice Age Collection,456
Resident Evil Collection,457
The Paleface Collection,458
Road to Collection,459
Smokey and the Bandit Collection,460
Sällskapsresorna,461
National Lampoon’s Van Wilder Collection,462
Slap Shot Collection,463
My Big Fat Greek Wedding Collection,464
War Trilogy,465
Horror High Collection,466
3 Men Collection,467
The Scorpion King Collection,468
Wild Orchid Collection,469
Spider-Man Collection,470
White Fang Collection,471
The Bourne Collection,472
Scooby-Doo Collection,473
Lilo & Stitch Collection,474
Like Mike Collection,475
Our Man Flint Collection,476
The Modesty Blaise Collection,477
xXx Collection,478
Living Trilogy,479
Blue Crush Collection,480
Undisputed Collection,481
Care Bears Collection,482
976-EVIL Collection,483
Barbershop Collection,484
The Transporter Collection,485
The Hills Have Eyes (Original) Collection,486
"Heaven, Hell and Purgatory Collection",487
Dracula (Hammer Series),488
Django - Original films,489
The Ring Collection,490
Saturday Night Fever Collection,491
Man of Marble/Iron Collection,492
Enter the Ninja Collection,493
Faces of Death Collection,494
Göta kanal collection,495
The BRD Collection,496
My Bloody Valentine Collection,497
Jackass Collection,498
Half Past Dead Collection,499
"Pagnol, Childhood's Memories",500
Scanners Collection,501
Brother Collection,502
Elling Collection,503
I Spit on Your Grave (Original) Collection,504
Anglo-Zulu War Collection,505
Vabank (Collection),506
Jönsson Gang,507
Class of 1999 Collection,508
Turkish Star Wars,509
My Girl Collection,510
Blue Collar Comedy Tour Collection,511
Tokyo Decadence series,512
Le Gendarme de St. Tropez Collection,513
They Call Me Bruce Collection,514
Zapped Collection,515
Dennis the Menace Collection,516
The Black Stallion Collection,517
Willard,518
Born Free Trilogy,519
Ringu Collection,520
I Am Curious Collection,521
The Flicka Collection,522
Aki Kaurismäki's Finland trilogy,523
House of 1000 Corpses Collection,524
Daddy Day Camp Collection,525
Breakin' Collection,526
Nevada Smith Collection,527
The Klapisch Trilogy,528
Almighty Collection,529
Finding Nemo Collection,530
Wrong Turn Collection,531
28 Days/Weeks Later Collection,532
Pirates of the Caribbean Collection,533
Johnny English Collection,534
Trilogie,535
Gator Collection,536
S.W.A.T. Collection,537
Agent Cody Banks Collection,538
Tremors Collection,539
Elements Trilogy,540
Sides of the Bed,541
The Cabin Fever Collection,542
Once Upon a Time in China Collection,543
Underworld Collection,544
Yossi Collection,545
Dorm Daze Collection,546
Leningrad Cowboys Collection,547
Beethoven Collection,548
Ginger Snaps Collection,549
House of the Dead Collection,550
Kill Bill Collection,551
Texas Chainsaw (Reboot) Collection,552
Brother Bear Collection,553
The Eye Collection,554
Sherlock Holmes (1939 series),555
Bad Santa Collection,556
Darkman Collection,557
Europa Trilogy,558
WarGames Collection,559
Kindergarten Cop Collection,560
Battle Royale Collection,561
Teen Wolf Collection,562
Leprechaun Collection (Original Series),563
Honey Collection,564
Cheaper by the Dozen Collection,565
Pumping Iron Collection,566
The Matt Helm Collection,567
The Butterfly Effect Collection,568
You Got Served Collection,569
The Lost Skeleton Collection,570
Blacula Collection,571
USA: Land of Opportunities Collection,572
Hellboy Collection,573
The Prince & Me Collection,574
Walking Tall Collection,575
Mean Girls Collection,576
Van Helsing Collection,577
The Kingdom,578
100 Girls Collection,579
Babylon 5 Collection,580
The Delta Force Collection,581
Cat People Collection,582
Bang Rajan Collection,583
Sniper Collection,584
Lammbock Collection,585
The Legend Collection,586
Vampire Karnstein (Hammer series),587
The Cheerleaders - Collection,588
The Streetfighter Collection,589
The Gidget Collection,590
Silence of God Trilogy by Ingmar Bergman,591
The Complete Monterey Pop Festival,592
Infernal Affairs Collection,593
Robot Jox Collection,594
Death Race Original Collection,595
Lew Harper Collection,596
In China They Eat Dogs Collection,597
Per Fly trilogien (Samling),598
Dead or Alive Collection,599
Dr. Mabuse Collection,600
Lupin the Third Collection,601
Grey Gardens Collection,602
Garfield Collection,603
Super Size Me Collection,604
The Human Condition,605
The Hitcher (1986) Collection,606
The Philadelphia Experiment - Collezione,607
Taxi Collection,608
Lassie (Kinofilme),609
Anchorman Collection,610
Cinderella Story Collection,611
Trylogia Sienkiewicza,612
Thunderbirds (Animation) Collection,613
PTU Collection,614
Harold & Kumar Collection,615
AVP Collection,616
Without a Paddle Collection,617
The Mangler Collection,618
Night of the Demons Collection,619
Witchboard Collection,620
It's Alive Collection,621
The Grudge Collection,622
Saw Collection,623
The Incredibles Collection,624
National Treasure Collection,625
SpongeBob Collection,626
That's Entertainment Collection,627
I Love a Mystery movie series,628
Topper Collection,629
Why We Fight,630
Ivan The Terrible Collection,631
The Orphic Trilogy,632
Allan Quatermain (1950 series),633
St. Trinian's Collection,634
Samurai Collection,635
Asterix and Obelix (Animation) Collection,636
Gamera Films,637
Trinità  Collection,638
The Emigrants Collection,639
The Tall Blond Man Collection,640
Lone Wolf and Cub Collection,641
Nobody Collection,642
Walking Tall Original Collection,643
Emmanuelle Collection,644
Gone in 60 Seconds Trilogy,645
Mountain Family Robinson Collection,646
Dolemite Collection,647
Ирония судьбы (Коллекция),648
The Sister Street Fighter Collection,649
Vixens Collection,650
Trilogy of Terror Collection,651
The Rutles Collection,652
French Fried Vacation,653
Barefoot Gen Collection,654
Star Wars: The Ewok Adventures Collection,655
"Silent Night, Deadly Night Collection",656
Anne of Green Gables Collection,657
Barbarian Queen Collection,658
Demons Collection,659
Mr. Vampire Collection,660
Flodder Collection,661
A Better Tomorrow Collection,662
The Frogtown Collection,663
Koker Trilogy,664
A Chinese Ghost Story Collection,665
Patlabor Collection,666
Begotten Collection,667
House of Angels Collection,668
Lonesome Dove Collection,669
The Bride with White Hair Collection,670
Fortress Collection,671
Trilogía de la violencia de Michael Haneke,672
Naked Collection,673
Gonin collection,674
Street Fighter Collection,675
Jack Frost Collection,676
The Hunters Collection,677
Pusher Collection,678
Bikini Summer Collection,679
The Cremaster Cycle,680
Hamilton Collection,681
Torrente Collection,682
Unna Trilogie,683
Lady Snowblood Collection,684
Superman (DC Universe Animated) Collection,685
Evangelion Collection,686
Kirikou,687
Osobennosti Natsionalnoy ... - Collection,688
The Big Bottom Box,689
If These Walls Could Talk Collection,690
Running Out Of Time Collection,691
The Wog Boy Collection,692
The Female Prisoner Series,693
Batman Beyond Collection,694
Asterix and Obelix Collection,695
My Sassy Girl Collection,696
Annika Bengtzon Collection,697
My Wife is a Gangster Collection,698
Fubar Collection,699
The Vengeance Collection,700
The Foreigner Collection,701
Johan Falk Collection,702
Herr Lehmann Filmreihe,703
Ju-on Collection,704
Samurai Trilogy,705
The Twins Effect Collection,706
Dark Woods Collection,707
One Missed Call Collection,708
Inuyasha Collection,709
Ong Bak Collection,710
Saints and Soldiers Collection,711
Open Water Collection,712
The Yes Men Collection,713
Bummer Collection,714
Azumi Collection,715
What the Bleep! Collection,716
White Noise Collection,717
The Yakuza Papers Collection,718
Brancaleone Collection,719
Appleseed Collection,720
Pippi Longstocking,721
Father Flanagan Collection,722
Dr. Who Collection,723
The Are We Collection,724
Alone in the Dark Collection,725
The Boogeyman Collection,726
Constantine Collection,727
World of Watches Collection,728
"No Retreat, No Surrender Collection",729
The ChubbChubbs Collection,730
The Blind Dead Collection,731
Vares Collection,732
Zu Warriors Collection,733
Sin City Collection,734
Trilogy of Life,735
The Love Comes Softly Collection,736
Zatôichi: The Blind Swordsman,737
Ukraine Trilogy,738
Madagascar Collection,739
The Sisterhood of the Traveling Pants Collection,740
The Dark Knight Collection,741
My Friends Collection,742
Fantastic Four Collection,743
Whispering Corridors Collection,744
The Dukes Of Hazzard Collection,745
Mr. Wong Collection,746
Waiting Collection,747
Green Street Hooligans Collection,748
Into the Blue Collection,749
Goal! Collection,750
Star Wreck Collection,751
American Pie (Spin-off) Collection,752
Tarzan (Johnny Weissmuller series),753
Jarhead Collection,754
Wolf Creek Collection,755
The Descent Collection,756
The Wild Geese Collection,757
The Chronicles of Narnia Collection,758
Havoc Collection,759
The Dentist Collection,760
Yamakasi - Collection,761
District 13 Collection,762
BloodRayne Collection,763
Hostel Collection,764
Hoodwinked! Collection,765
Project A Collection,766
Uuno Turhapuro,767
Nanny McPhee Collection,768
The Comedians Of Comedy Collection,769
The Pink Panther (Steve Martin) Collection,770
Troll Collection,771
Curious George Collection,772
Pulse Collection,773
Election Collection,774
Ultimate Avengers Collection,775
The Hills Have Eyes (Reboot) Collection,776
Silent Hill Collection,777
The Protector Collection,778
Die Nibelungen Collection,779
Robert Langdon Collection,780
Cars Collection,781
See No Evil Collection,782
High School Musical Collection,783
The Sheriff and the Satellite Kid Collection,784
Krrish Collection,785
Night at the Museum Collection,786
Crank Collection,787
Step Up Collection,788
Bon Cop Bad Cop Collection,789
The Heroic Trio Collection,790
Swordsman Collection,791
Open Season Collection,792
The Marine Collection,793
