production_compani,Id_production_compani
Stanley Kubrick Productions,274
Allied Artists Pictures,275
Michael Todd Company,276
Hunt Stromberg Productions,277
Premier Productions,278
Republic Pictures,279
Gaumont British Picture Corporation,280
Howard Hughes Productions,281
Laurel Group,282
Santana Pictures Corporation,283
Avon Production,284
Grand National Pictures,285
D & B Films Co. Ltd.,286
BMG Independents,287
Dor Film Produktionsgesellschaft GmbH,288
Neo Productions,289
Cinehaus,290
Tinderbox Films,291
Walt Disney,292
The Kushner-Locke Company,293
Rastar Pictures,294
Cinema 7,295
Constellation Films,296
Revolution Films,297
Bazmark Films,298
First Look Pictures,299
Walt Disney Television Animation,300
Vic Films Productions,301
Transatlantic Films,302
Rollins-Joffe Productions,303
HandMade Films,304
Tatira-Hiller Productions,305
Great American Films Limited Partnership,306
Gladden Entertainment,307
Keith Barish Productions,308
Orenda Films,309
Harmony Gold,310
Charles K. Feldman Group,311
Discovery Channel Productions,312
Wega Film,313
Bac Films,314
C&P Productions,315
Cinéa,316
Eurimages,317
Northern Lights Entertainment,318
Sony Pictures,319
Woodward Productions,320
AVCO Embassy Pictures,321
Vision Comunicaciones,322
Python (Monty) Pictures Limited,323
Jürgen Brüning Filmproduktion,324
Big Sister Production,325
Warren Miller Entertainment,326
Dussault,327
Pandora Cinema,328
Bryan Foy Productions,329
Eagle-Lion Films,330
Edward Small Productions,331
Scalera Film S.p.a.,332
Jadran Film,333
Keep Films,334
UGC PH,335
Les Films du Carrosse,336
Morgan Creek Productions,337
Rai Tre Radiotelevisione Italiana,338
Elsevira,339
Hachette Première,340
Royal Oaks Entertainment,341
Penta Films,342
Ferndale Films,343
Atchafalaya,344
Beyond Films,345
Third Floor Productions,346
Act III Communications,347
Embassy International Pictures,348
Handmade Films Ltd.,349
Horizon Pictures (II),350
London Film Productions,351
Winkler Films,352
Nippon Herald Films,353
Film Workshop,354
Mosfilm,355
Radiant Film GmbH,356
Svensk Filmindustri (SF),357
Goldcrest Films International,358
Brandenberg,359
Lawrence Turman,360
Universal International Pictures (UI),361
Cineriz,362
CBS Entertainment Productions,363
Nero-Film AG,364
Greenwich Film Productions,365
Island Pictures,366
Davis-Panzer Productions,367
China Film Co-Production Corporation,368
New World Pictures,369
Spinal Tap Prod.,370
IRE Productions,371
The Saul Zaentz Company,372
Persky-Bright Productions,373
Village Roadshow Pictures,374
Helvey-Pray Production,375
Hit Entertainment,376
Degeto Film,377
Bruin Grip Services,378
Eureka Pictures,379
Greenestreet Films,380
Skreba Films,381
Steve White Productions,382
De Laurentiis Entertainment Group (DEG),383
A. Ninety-Three Productions,384
American International Pictures (AIP),385
Compagnia Cinematografica Champion,386
Sterobcar Productions,387
Alfred J. Hitchcock Productions,388
Compass International Pictures,389
Vista Street Entertainment,390
Melville-Talbot Productions,391
Jofa Atelier,392
Reteitalia,393
Trust Film,394
Michael Obel Productions,395
Sandrews,396
Epithète Films,397
Pyramide Productions,398
Seltzer Films,399
Redhead Productions,400
Prokino Filmproduktion,401
Woods Entertainment,402
Turner Pictures,403
Si Litvinoff Film Production,404
Elkins Entertainment,405
"Astral Films, Australian Film Commission, The",406
O.T.A. Productions,407
Roth-Arnold Productions,408
Village Roadshow,409
New Deal Productions,410
Stand See,411
Mirabai Films,412
Q Productions,413
Warner Bros. Pictures,414
Fox 2000 Pictures,415
British Columbia Film,416
MDP Worldwide,417
Baldini Pictures,418
La Sept Cinéma,419
New Zealand Film Commission,420
Desperate Pictures,421
Hallmark Entertainment,422
Parc Film,423
Altamira Pictures Inc.,424
Figment Films,425
.406 Production,426
Goldwyn Films,427
Jerry Bruckheimer Films,428
Kasander & Wigman Productions,429
Phaedra Cinema,430
Curb Entertainment,431
Tapestry Films,432
MURDER and murder Production,433
Terence Michael Productions,434
Centre National de la Cinématographie (CNC),435
Timedial Films,436
Avventura Films,437
Alliance Atlantis Communications,438
Quincy Jones-David Salzman Entertainment,439
United Artists Pictures,440
Capitol Films,441
Art Linson Productions,442
DreamWorks SKG,443
De Fina-Cappa,444
Illusion Entertainment Group,445
Good Film Company,446
Clinica Estetico,447
Lions Gate Films,448
Greentrees Films,449
Kuzui Enterprises,450
Icon Productions,451
Tapson Steel Films Productions,452
Tiger Aspect Productions,453
Nomadic Pictures,454
Arts Council of England,455
101st Street Films,456
Butcher's Run Productions,457
France 3 Cinema,458
Asylum Films,459
The Image Organization,460
DreamWorks,461
Chase Regency,462
Eon Productions,463
Miravista Films,464
Allied Films,465
Centre National de la Cinématographie,466
Saban Entertainment,467
J&M Entertainment,468
Atlas Entertainment,469
Zero Film GmbH,470
New Amsterdam Entertainment,471
Punch Productions,472
Bandeira Entertainment,473
Wildgaze Films,474
Alameda Films,475
MacGillivray Freeman Films,476
United Artists Corporation,477
Mandalay Entertainment,478
Shooting Gallery,479
Front Street Pictures,480
Duo Art Productions,481
Jean Doumanian Productions,482
SE8 Group,483
Constantin Film Produktion,484
Here Studios,485
Strength Ltd.,486
Lakeshore Entertainment,487
Abbas Kiarostami Productions,488
First Floor Features,489
Cabin Creek Films,490
HSX Films,491
DiNovi Pictures,492
Norsk Film,493
The Institute for the Intellectual Development of Children & Young Adults,494
Tritone Productions,495
Joel Castleberg Productions,496
Truth and Soul Pictures Inc,497
Circle Films,498
Reynolds Pictures,499
Paramount Famous Lasky Corporation,500
Fox Film Corporation,501
Paramount,502
Two Cities Films,503
